,county,counts
768,"Bristol, RI",2
769,"Eastland, TX",2
770,"Bennington, VT",2
771,"Marshall, AL",2
772,"Livingston, NY",2
773,"Webster, MO",2
774,"Story, IA",2
775,"Scotts Bluff, NE",2
776,"Tangipahoa, LA",2
777,"St. Landry, LA",2
778,"Cowley, KS",2
779,"Putnam, WV",2
780,"St. Johns, FL",2
781,"Watauga, NC",2
782,"Limestone, AL",2
783,"Logan, IL",2
784,"Kitsap, WA",2
785,"Grant, WI",2
786,"Spotsylvania, VA",2
787,"San Miguel, NM",2
788,"Christian, KY",2
789,"Sumter, GA",2
790,"Nicollet, MN",2
791,"Callaway, MO",2
792,"Pike, KY",2
793,"El Dorado, CA",2
794,"Oldham, KY",2
795,"Gurabo Municipio, PR",2
796,"Monroe, IL",2
797,"St. Francis, AR",2
798,"Stanly, NC",2
799,"Brown, SD",2
800,"Armstrong, PA",2
801,"Douglas, OR",2
802,"Wyandotte, KS",2
803,"Prince Edward, VA",2
804,"Monroe, MI",2
805,"Cowlitz, WA",2
806,"Montgomery, TX",2
807,"Lexington, VA",2
808,"Woodward, OK",2
809,"Wexford, MI",2
810,"Finney, KS",2
811,"Upshur, WV",2
812,"Ward, ND",2
813,"Woods, OK",2
814,"Wayne, NC",2
815,"Snyder, PA",2
816,"Clark, AR",2
817,"Cayey Municipio, PR",2
818,"Otero, NM",2
819,"Lea, NM",2
820,"Dyer, TN",2
821,"Franklin, KS",2
822,"Pottawattamie, IA",2
823,"Perry, KY",2
824,"Lee, IL",2
825,"Howard, TX",2
826,"Guayama Municipio, PR",2
827,"Jackson, NC",2
828,"Russell, AL",2
829,"Montgomery, NY",2
830,"Claiborne, TN",2
831,"Loudoun, VA",2
832,"Whiteside, IL",2
833,"Jackson, OK",2
834,"Harrisonburg, VA",2
835,"Davison, SD",2
836,"Troup, GA",2
837,"Henry, OH",2
838,"Flathead, MT",2
839,"Washington, VA",2
840,"Grand Traverse, MI",2
841,"Manitowoc, WI",2
842,"Chaves, NM",2
843,"Montgomery, IL",2
844,"Lasalle, IL",2
845,"Lauderdale, AL",2
846,"Tom Green, TX",2
847,"Okaloosa, FL",2
848,"Randolph, WV",2
849,"Giles, TN",2
850,"Allegany, MD",2
851,"Payne, OK",2
852,"Yankton, SD",2
853,"Hopkins, KY",2
854,"Pontotoc, OK",2
855,"Belmont, OH",2
856,"Spalding, GA",1
857,"Rio Blanco, CO",1
858,"Poweshiek, IA",1
859,"Siskiyou, CA",1
860,"Scott, MO",1
861,"Rice, KS",1
862,"Clinton, PA",1
863,"Taos, NM",1
864,"Marshall, IN",1
865,"Wyoming, PA",1
866,"Itawamba, MS",1
867,"Mower, MN",1
868,"Union, SC",1
869,"Woodford, IL",1
870,"Somerset, MD",1
871,"Orange, VA",1
872,"Wichita, TX",1
873,"Caledonia, VT",1
874,"Cumberland, TN",1
875,"Skagit, WA",1
876,"Clarke, AL",1
877,"Kiowa, KS",1
878,"Boone, IN",1
879,"Haywood, NC",1
880,"Orange, VT",1
881,"Washington, GA",1
882,"Lake, SD",1
883,"Washington, NY",1
884,"Windsor, VT",1
885,"Warrick, IN",1
886,"Shiawassee, MI",1
887,"Pamlico, NC",1
888,"Valencia, NM",1
889,"Quay, NM",1
890,"Utuado Municipio, PR",1
891,"Mississippi, AR",1
892,"Conway, AR",1
893,"Saline, IL",1
894,"Barton, KS",1
895,"St. Thomas Island, VI",1
896,"Huron, OH",1
897,"Caddo, OK",1
898,"Cooke, TX",1
899,"Navajo, AZ",1
900,"Franklin, ME",1
901,"Seneca, NY",1
902,"Monroe, FL",1
903,"Overton, TN",1
904,"Arroyo Municipio, PR",1
905,"Jackson, AR",1
906,"Washington, RI",1
907,"Champaign, OH",1
908,"Martin, NC",1
909,"Highland, OH",1
910,"Colleton, SC",1
911,"Kosciusko, IN",1
912,"Monroe, AL",1
913,"N, PW",1
914,"Saipan, MP",1
915,"Sweetwater, WY",1
916,"Lamar, MS",1
917,"Escambia, AL",1
918,"Etowah, AL",1
919,"Bedford, PA",1
920,"Duplin, NC",1
921,"Stark, ND",1
922,"Broomfield, CO",1
923,"Saline, NE",1
924,"Columbia, PA",1
925,"Franklin, NY",1
926,"Claiborne, MS",1
927,"Liberty, GA",1
928,"Putnam, FL",1
929,"Greenbrier, WV",1
930,"Washington, LA",1
931,"Glynn, GA",1
932,"Jefferson, IA",1
933,"Henderson, TX",1
934,"Montgomery, GA",1
935,"St. Francois, MO",1
936,"Holmes, MS",1
937,"Lincoln, NE",1
938,"Crittenden, AR",1
939,"Ionia, MI",1
940,"Malheur, OR",1
941,"Union, OR",1
942,"Matanuska-Susitna, AK",1
943,"Williamson, IL",1
944,"Gunnison, CO",1
945,"Madison, NC",1
946,"Clay, SD",1
947,"Plumas, CA",1
948,"Tipton, TN",1
949,"Sheboygan, WI",1
950,"Carroll, GA",1
951,"Union, NC",1
952,"Itasca, MN",1
953,"Livingston, MO",1
954,"Ashley, AR",1
955,"Sanpete, UT",1
956,"Emmet, IA",1
957,"Naguabo Municipio, PR",1
958,"Stephens, GA",1
959,"Tuolumne, CA",1
960,"Hunt, TX",1
961,"Calhoun, AL",1
962,"Grays Harbor, WA",1
963,"Mecosta, MI",1
964,"Washita, OK",1
965,"Sevier, AR",1
966,"Barry, MI",1
967,"Moore, TN",1
968,"Floyd, KY",1
969,"Tioga, PA",1
970,"Coos, OR",1
971,"Wasco, OR",1
972,"Titus, TX",1
973,"Calloway, KY",1
974,"Franklin, MA",1
975,"Johnston, NC",1
976,"Queen Anne'S, MD",1
977,"Pulaski, KY",1
978,"Bullitt, KY",1
979,"Comal, TX",1
980,"Scotland, NC",1
981,"Rowan, KY",1
982,"Greene, AR",1
983,"Decatur, IA",1
984,"Prentiss, MS",1
985,"Parker, TX",1
986,"Wilkes, NC",1
987,"Leavenworth, KS",1
988,"Maverick, TX",1
989,"Laclede, MO",1
990,"Fayette, IA",1
991,"Brown, TX",1
992,"Butler, KS",1
993,"Lake, MT",1
994,"La Plata, CO",1
995,"Mcdonough, IL",1
996,"Orleans, VT",1
997,"Hancock, IN",1
998,"Flagler, FL",1
999,"Waller, TX",1
1000,"Sheridan, WY",1
1001,"Covington, AL",1
1002,"Morgan, CO",1
1003,"Portage, WI",1
1004,"Garrett, MD",1
1005,"Big Horn, MT",1
1006,"Grady, OK",1
1007,"Conecuh, AL",1
1008,"Brunswick, NC",1
1009,"Delta, CO",1
1010,"Juneau  And, AK",1
1011,"Coahoma, MS",1
1012,"Calhoun, AR",1
1013,"Cass, MN",1
1014,"Decatur, GA",1
1015,"Donley, TX",1
1016,"Fayette, GA",1
1017,"Columbus, NC",1
1018,"Grant, NM",1
1019,"Carteret, NC",1
1020,"Curry, NM",1
1021,"Atchison, KS",1
1022,"Addison, VT",1
1023,"Cherokee, SC",1
1024,"Todd, SD",1
1025,"Williamsburg, VA",1
1026,"Sullivan, NH",1
1027,"Berkeley, SC",1
1028,"Stevens, MN",1
1029,"Stutsman, ND",1
1030,"Hardeman, TN",1
1031,"Cass, MI",1
1032,"Carlton, MN",1
1033,"Halifax, NC",1
1034,"Prowers, CO",1
1035,"Isabela Municipio, PR",1
1036,"Sequoyah, OK",1
1037,"Washington, FL",1
1038,"Huntington, IN",1
1039,"Nemaha, NE",1
1040,"San Germán Municipio, PR",1
1041,"Wood, WI",1
1042,"Maui, HI",1
